ID;Att1;Att2;Att3;Att4;Att5;Att6;Att7;Att8;Att9;Att10;Att11;Att12;Att13;Att14;Att15;Att16;Att17;Att18;Att19;Att20;Att21;Att22;Att23;Att24;Att25;Att26;Att27;Att28;Att29;Att30;Att31;Att32;Att33;Att34;Att35;Att36;Att37;Att38;Att39;Att40;Att41;Att42;Att43;Att44;Att45;Att46;Att47;Att48;Att49;Att50;Att51;Att52;Att53;Att54;Att55;Att56;Att57;Att58;Att59;Att60;Att61;Att62;Att63;Att64;Att65;Att66;Att67;Att68;Att69;Att70;Att71;Att72;Att73;Att74;Att75;Att76;Att77;Att78;Att79;Att80;Att81;Att82;Att83;Att84;Att85;Att86;Att87;Att88;Att89;Att90;Att91;Att92;Att93;Att94;Att95;Att96;Att97;Att98;Att99;Att100;Att101;Att102;Att103
1000;0.004168;-0.170975;-0.156748;-0.142151;0.058781;0.026851;0.197719;0.04185;0.066938;-0.056617;-0.02723;-0.137411;0.067776;0.047175;0.155671;0.050766;0.102557;-0.020259;-0.200512;-0.095371;-0.08194;-0.103735;0.093299;0.105475;0.14856;0.085925;0.107879;0.108075;0.085388;0.124026;-0.00365;-0.127376;0.039394;-0.018364;0.050378;0.15719;0.203563;0.111552;0.017907;-0.001126;0.053062;0.140708;0.137118;-0.090282;-0.067809;-0.102396;-0.051758;0.050665;0.007055;0.021674;0.061283;0.083523;0.053235;0.001978;0.077418;0.046762;-0.07573;-0.092787;0.127297;-0.178029;-0.202705;-0.028543;0.032891;0.023189;0.009716;-0.169848;-0.002261;-0.133029;0.082378;-0.21661;0.062425;-0.128243;0.203676;0.143642;0.178602;0.192041;0.154135;-0.175325;-0.133636;0.005524;-0.014981;-0.031946;-0.015114;-0.047175;0.003829;0.010967;-0.006062;-0.02756;-0.019866;-0.024046;-0.025153;-0.009261;-0.025539;0.006166;-0.012976;-0.014259;-0.015024;-0.010747;0.000411;-0.032056;-0.018312;0.030126;0.124722
1001;-0.103956;0.011879;-0.098986;-0.054501;-0.00797;0.049113;-0.03058;-0.077933;-0.080529;-0.016267;-0.215304;-0.009885;-0.155843;-0.059522;-0.098836;-0.071141;-0.023494;-0.0712;0.027767;0.003091;-0.003761;0.0746;0.05308;-0.008138;0.001794;-0.111704;-0.140291;-0.063347;0.066767;-0.167073;-0.095567;-0.047209;0.082206;0.144445;0.086581;-0.11185;-0.08656;0.024942;-0.131539;0.080062;0.345095;-0.090835;-0.072651;0.045934;0.016653;-0.09112;0.024707;-0.058299;0.02721;0.004696;0.013844;0.043541;0.044008;0.03648;0.039348;-0.046261;0.025664;0.016511;0.043803;0.019016;-0.018508;-0.042825;-0.127017;0.383213;0.027688;0.179844;-0.019807;0.031726;-0.086455;0.157766;-0.016577;0.028003;-0.042753;-0.083054;-0.035512;-0.008779;-0.050616;-0.001249;-0.020209;-0.077359;-0.045139;-0.074738;0.051846;0.009323;0.184332;0.420424;-0.090224;-0.090718;-0.035266;-0.046729;0.000575;-0.066023;-0.051916;0.00768;0.027719;-0.085811;0.111123;0.050541;0.027565;-0.063569;-0.041471;-0.079758;0.017161
1002;0.509949;0.401709;0.293799;0.087714;0.011686;-0.006411;-0.006255;0.013646;-0.040666;-0.024447;-0.040576;0.014326;-0.074968;0.141365;-0.015182;0.013691;0.006893;0.003736;-0.020726;-0.044104;-0.052959;-0.085572;-0.061547;-0.029578;0.0277;-0.09431;-0.047721;-0.081589;-0.022846;-0.106684;-0.068873;-0.105225;-0.065414;-0.047722;-0.070723;-0.057425;-0.042024;-0.034122;-0.049606;0.015137;-0.091978;-0.057454;0.039602;0.028388;-0.068859;-0.027863;-0.061797;-0.059999;-0.033393;0.017728;0.097745;0.039449;0.041347;-0.083136;0.052164;0.00081;0.018361;0.03783;-0.029845;-0.031345;0.026966;0.051128;-0.015953;-0.002294;-0.046697;-0.0005;0.034184;-0.033345;-0.00707;-0.002837;0.001422;0.005147;-0.138257;-0.096135;-0.055102;0.00083;-0.047025;-0.002432;0.001711;-0.083572;-0.096943;0.148457;-0.007413;0.130691;-0.032325;0.028612;-0.023051;-0.092214;-0.103336;0.138232;-0.100351;0.140423;0.110074;0.096277;-0.044932;-0.08947;-0.009162;-0.01201;0.308378;-0.028053;0.02671;-0.066565;-0.122352
1003;0.119092;0.004412;-0.002262;0.072254;0.044512;-0.051467;0.074686;-0.00767;0.079438;0.062184;-0.013027;0.045538;0.080412;-0.010042;0.013029;-0.071975;0.089818;-0.016129;0.033105;0.024275;0.040428;0.064248;0.225613;0.176576;0.015501;0.009491;-0.013684;-0.017633;0.085007;-0.056274;-0.088925;-0.062951;0.227151;0.165897;0.150224;0.065105;0.110891;0.048451;0.114726;0.020393;0.025997;0.060515;0.072422;-0.128881;0.039636;-0.016252;0.058923;-0.049495;-0.091221;0.016999;-0.055619;-0.043654;-0.083105;-0.045546;-0.09986;-0.078093;-0.192852;-0.089999;-0.024671;-0.126046;0.052497;-0.092266;-0.090488;0.041994;0.021031;0.069224;-0.098074;-0.098434;0.014228;0.114669;0.164518;0.101039;0.060494;-0.020581;-0.101576;-0.045215;-0.087017;-0.111806;-0.154732;0.302807;0.340027;-0.093332;-0.057848;-0.010558;-0.039194;-0.041628;-0.077455;-0.008553;-0.022404;-0.106131;-0.103067;-0.083059;-0.089064;-0.083809;0.200354;-0.075716;0.196605;0.152758;-0.028484;-0.074207;-0.089227;-0.049913;-0.043893
1004;0.042037;0.007054;-0.069483;0.081015;-0.048207;0.089446;-0.004947;0.064456;-0.133387;0.068878;-0.139371;0.041487;-0.058531;0.021264;-0.101382;0.021015;0.096572;-0.005136;0.111104;-0.008323;0.02021;-0.003967;0.039762;0.006744;-0.04173;-0.174533;-0.101343;-0.115674;0.328511;-0.108945;-0.160748;-0.12029;-0.148308;-0.082882;-0.127218;-0.167186;-0.14321;-0.118028;-0.297516;-0.160082;0.046987;-0.023794;-0.123336;-0.071192;-0.161773;-0.159971;-0.118573;-0.094708;0.021561;0.018012;0.067262;0.078209;0.040831;-0.047518;0.052238;0.015478;0.065499;0.083426;0.155718;0.066596;0.106298;0.092366;0.069543;0.161903;-0.141936;0.0347;-0.078012;0.032215;0.089776;0.117962;0.169422;0.115342;-0.089155;-0.072678;-0.015655;0.069825;0.039744;0.108388;0.095516;0.015942;0.087354;0.176911;-0.062311;0.117205;-0.048277;-0.053679;0.01485;-0.066453;-0.067962;-0.083653;-0.08113;-0.061469;0.023662;-0.060467;0.044351;-0.057209;0.028047;0.029661;-0.050026;0.023248;-0.061539;-0.03516;0.067834
1005;0.003286;-0.023601;-0.023104;-0.064171;-0.017719;-0.11351;-0.035212;-0.077675;-0.024348;-0.012458;0.013203;-0.033329;0.047343;0.03111;0.066102;-0.021335;0.089228;-0.013806;0.030922;0.021081;0.08605;-0.007688;-0.003909;0.023979;-0.011401;0.037614;0.122546;0.074082;0.04591;0.124436;0.124325;0.132139;-0.061852;-0.174536;-0.184804;-0.08282;0.006521;-0.003643;-0.014628;-0.026703;-0.032888;0.024425;0.054528;-0.101401;0.014606;0.026646;0.037999;-0.019444;-0.013074;-0.064601;-0.081504;-0.071366;-0.035875;0.10198;-0.09156;0.017506;-0.025028;-0.048594;-0.017611;0.059662;-0.006563;-0.007014;0.028528;-0.082346;0.30938;0.271756;0.324673;0.267579;-0.093078;-0.146587;-0.124777;-0.231879;0.003766;0.007124;0.052473;0.074151;0.074014;0.026689;0.028306;-0.022753;-0.029017;0.001257;-0.162765;0.095942;0.170988;0.183442;-0.050507;-0.018859;-0.136377;0.116337;0.111394;-0.180056;-0.036899;-0.20002;-0.052056;0.012218;-0.038346;-0.046463;0.114204;0.125139;-0.0126;0.105835;-0.00144
1006;0.076606;-0.025478;0.072419;-0.065383;0.123539;0.12013;0.102248;0.008324;0.094147;-0.014666;0.159352;-0.005371;0.071226;0.110422;0.17914;0.06219;0.109197;-0.141429;-0.179729;-0.035018;-0.013449;0.009843;0.096399;0.020458;0.055086;0.004566;-0.056574;0.015194;-0.038159;-0.047149;-0.053226;-0.012198;0.045641;0.049025;0.074069;0.06395;0.079691;0.026329;0.009623;0.17336;-0.051999;-0.001445;0.038185;-0.181;-0.050994;-0.116329;-0.085794;-0.003214;-0.010565;0.109443;0.073003;0.03711;0.025515;-0.153793;-0.015796;0.020212;-0.018386;0.082409;0.058881;-0.028625;-0.188271;-0.121936;0.072489;-0.04957;0.169555;-0.085764;0.052756;-0.043803;0.12026;-0.012549;-0.106745;-0.034501;0.087775;0.093431;0.090078;-0.031355;0.011194;-0.209306;-0.180997;0.015614;0.015714;-0.123243;-0.093674;0.198816;-0.100384;-0.106521;0.131097;0.183801;0.243689;0.210307;0.197175;-0.106965;0.0466;-0.109926;0.003302;0.024075;0.039718;0.030025;-0.098264;-0.104963;-0.114448;-0.094395;-0.148318
1007;-0.106801;-0.069277;-0.132254;-0.099246;-0.188413;-0.110359;-0.15512;-0.168094;-0.182473;0.023208;-0.130712;-0.079053;-0.171518;-0.064736;-0.153275;-0.070655;0.021343;-0.070272;0.060064;0.067662;0.022577;0.010968;-0.005391;-0.075087;-0.076256;-0.02016;-0.07247;-0.017722;0.016697;-0.054512;-0.003925;0.047992;0.132655;0.119805;0.059088;-0.026662;0.007289;0.017478;0.037296;0.028246;0.022648;0.020323;-0.030252;0.05742;0.030436;-0.051919;-0.027397;-0.000518;-0.003431;0.049034;0.166177;0.176017;0.243175;-0.108587;0.257996;0.212199;-0.004107;-0.01827;-0.16166;-0.037524;-0.071472;-0.025932;0.001865;-0.052415;-0.07602;0.027548;0.050457;0.03124;0.102424;-0.048468;-0.085218;-0.025517;0.004446;0.001622;0.026163;-0.174188;-0.060942;0.038233;0.000925;-0.076198;-0.021789;0.167004;0.109032;0.074937;0.018825;-0.151933;-0.155029;-0.089821;-0.026713;0.164534;0.172943;0.02273;0.015293;0.185214;-0.084224;-0.123843;0.005166;0.149781;0.09954;-0.145246;-0.030507;-0.160804;-0.045927
1008;0.17765;0.136159;0.153211;0.190312;0.158541;0.219521;0.079914;0.232238;0.127932;0.089142;0.214214;0.186596;0.080546;0.214809;0.157049;0.220334;0.103141;0.143783;0.050731;-0.042281;0.017755;-0.022191;-0.035914;-0.052768;-0.029176;-0.086553;-0.04573;-0.08051;-0.090395;-0.067494;-0.051173;-0.013736;0.037043;-0.015615;-0.016112;-0.000904;-0.017557;0.034323;0.041121;0.00506;0.004845;0.034218;0.00503;0.093303;0.108699;0.094873;0.113329;-0.03907;-0.040719;-0.048583;-0.060474;-0.043247;-0.059577;-0.024152;-0.047301;-0.015707;-0.070061;-0.033093;-0.098816;-0.024762;-0.100993;-0.041568;-0.064112;-0.078269;-0.11334;-0.031019;-0.354263;0.004667;-0.104765;-0.286221;-0.067996;-0.047794;-0.000373;-0.037373;-0.004913;-0.009994;-0.115887;0.014361;0.027029;-0.00948;-0.027829;-0.0428;-0.03046;-0.056851;-0.013668;-0.012081;-0.019658;-0.03622;-0.021501;-0.043937;-0.043592;-0.025531;-0.023776;-0.017603;-0.026542;0.074257;-0.023072;0.003242;0.2522;-0.029461;-0.02624;0.006896;0.078088
1009;0.122075;-0.055828;-0.034775;-0.039235;0.075027;0.087308;0.088062;0.122385;0.091848;-0.099132;0.041763;-0.024225;0.118928;0.057956;0.027388;0.163739;-0.015432;-0.008595;-0.086907;-0.093769;-0.078785;0.096019;0.100252;0.008856;-0.04586;-0.087768;-0.106773;-0.053326;-0.058797;-0.196288;-0.104462;-0.150524;0.186878;0.09644;0.13788;0.165071;0.101762;0.05706;-0.022019;-0.025563;0.128242;0.176067;-0.296871;-0.000183;0.040811;-0.039195;0.019562;-0.002056;0.060674;0.153336;0.069484;0.021987;-0.048801;-0.166048;-0.074444;-0.106089;-0.045318;0.096766;0.022171;-0.139521;0.025829;-0.074287;0.004542;0.06771;-0.049911;-0.053006;-0.146744;-0.048638;-0.101439;0.131881;-0.041595;0.073726;0.095581;0.072837;-0.031377;-0.13814;-0.074792;-0.003966;-0.153042;-0.06189;-0.066663;0.01897;0.181895;-0.124112;0.217399;0.050713;-0.068185;-0.095511;0.025485;0.14737;0.117484;-0.030877;-0.036756;-0.102717;0.161406;-0.089552;0.077943;-0.093588;-0.016764;-0.069944;-0.105056;-0.08081;0.031019
1010;0.027604;0.147904;0.040762;-0.062932;0.073776;0.042128;0.035798;-0.032456;-0.023777;0.058981;-0.097121;-0.037276;0.04938;0.08271;0.060235;-0.031702;-0.012944;0.110321;0.215541;-0.157059;-0.080185;-0.064495;-0.192916;-0.182874;-0.185116;-0.183097;-0.017702;-0.145346;-0.077873;-0.033593;-0.070288;-0.028065;-0.001175;0.000075;0.099426;-0.048217;0.005778;-0.072706;-0.16813;-0.114115;-0.288195;-0.048212;-0.007112;0.229669;-0.046082;-0.04699;-0.12;0.027748;-0.185506;-0.165442;-0.12956;-0.078965;-0.016577;0.048946;0.002094;0.131287;-0.075224;-0.06047;0.045415;0.172033;0.068958;0.159794;0.064221;0.047768;-0.012402;0.03712;-0.033801;0.068603;0.049523;0.112135;0.06736;0.039476;-0.112461;0.248138;0.00175;0.13684;0.046967;0.230018;0.226076;-0.019966;-0.007604;0.009893;-0.046488;-0.036091;0.024235;0.015954;-0.031826;-0.027831;0.027852;-0.055722;-0.055347;-0.00783;-0.021877;0.006474;-0.018949;-0.038872;-0.019147;-0.018075;-0.00251;-0.052493;0.030106;0.045039;0.132472
1011;-0.060498;-0.045939;0.005694;-0.00803;-0.053844;-0.14502;-0.120767;-0.204572;-0.135548;-0.223845;-0.108189;-0.090217;-0.122463;-0.123234;-0.071434;-0.121037;-0.059077;-0.094592;0.114935;0.000732;0.111828;0.072532;-0.034335;0.007767;-0.008121;0.037705;0.062995;-0.026497;0.004989;0.046415;0.155065;0.02111;0.099971;-0.001907;-0.086268;-0.003493;0.036707;0.020023;0.110948;0.040556;0.057817;0.000953;0.111093;-0.008567;0.012375;0.166253;0.161308;-0.087218;-0.031724;-0.006697;-0.001611;0.011933;-0.012326;-0.007991;-0.012175;0.040285;-0.046917;-0.051619;-0.011735;0.138401;0.109505;-0.009877;-0.037483;-0.040191;0.3228;0.212229;0.083045;0.082989;-0.109443;-0.07266;-0.133641;-0.122812;-0.088138;0.11068;-0.109603;-0.098466;-0.090319;-0.018818;0.035562;0.106167;-0.125173;-0.027191;0.032676;0.084413;0.17514;0.178014;0.13184;0.074264;0.098555;-0.003369;-0.013126;-0.128986;-0.121102;-0.141026;0.085481;0.151475;-0.120316;-0.119317;0.040945;0.031489;-0.134889;-0.124008;-0.055565
1012;-0.107407;-0.008558;-0.049246;-0.073517;-0.173126;-0.047933;-0.112671;-0.150253;-0.04629;-0.023223;-0.052437;-0.113562;-0.172783;-0.216828;-0.163574;-0.166651;-0.218819;-0.159496;0.083885;0.151606;-0.089255;-0.063333;-0.112656;-0.039296;-0.006815;0.062001;0.032005;0.01841;0.157649;0.100712;0.177624;0.116575;0.036593;-0.062062;-0.153479;-0.129169;-0.086532;-0.040043;0.043426;0.039038;0.094462;0.01004;0.075369;0.19581;0.196829;0.239993;0.223983;-0.004593;-0.068628;-0.015619;0.027057;0.03173;0.00572;-0.103341;0.027698;-0.071155;-0.053766;0.059885;-0.135646;-0.031585;0.061968;-0.064895;-0.091341;-0.155028;0.095373;0.117335;0.134848;0.1242;-0.012303;-0.100071;-0.082942;0.060739;-0.063202;-0.059515;0.089842;0.005355;-0.066996;0.181405;0.116888;0.009084;-0.003271;-0.049065;-0.051682;-0.066114;-0.033993;-0.040884;0.100348;-0.042663;-0.048663;0.028458;0.025231;-0.050218;-0.021907;-0.047155;-0.014162;-0.031422;-0.004289;-0.00742;-0.018176;0.113931;0.011375;-0.008988;0.096542
1013;0.040022;0.055742;-0.039405;0.050275;0.013602;0.050647;0.029556;-0.055486;0.018907;0.095781;0.021203;0.046395;0.043224;0.150822;0.079715;0.025764;0.101918;0.047007;-0.018921;0.110326;0.013359;0.164522;0.18489;0.184762;0.184342;0.227411;0.15391;0.147339;0.114427;0.089452;0.095422;0.127176;-0.023771;-0.015534;0.003627;0.068473;0.13653;0.099869;0.047967;0.022137;0.059514;0.072525;0.040835;0.01458;-0.021534;-0.027298;-0.018364;0.155009;-0.210981;-0.192711;-0.163325;-0.033675;-0.009554;0.051018;0.04112;0.203507;0.019626;-0.182514;0.022388;-0.091138;-0.284726;-0.12567;-0.089787;0.067629;0.159775;-0.03675;-0.008809;-0.103238;0.128525;-0.056561;-0.131403;-0.140104;0.091337;-0.021774;0.040148;0.040602;-0.045943;-0.205321;-0.200038;0.063035;0.025886;-0.054019;-0.043657;-0.080266;-0.020756;-0.018619;-0.02617;-0.051512;-0.044279;-0.062626;-0.062068;-0.037028;0.033366;-0.026321;0.051719;-0.02848;0.078892;0.072595;-0.028857;-0.055217;-0.043145;0.007548;0.133574
1014;-0.096449;0.046531;-0.052701;-0.020124;-0.166082;0.079298;-0.148116;0.068355;-0.064213;0.05836;-0.014423;-0.059671;-0.089284;-0.007239;-0.082862;0.056215;0.038415;-0.013043;0.04311;0.027901;-0.057657;-0.031097;0.063445;0.070263;0.14968;0.010481;-0.017768;0.032691;0.105776;-0.07759;-0.000442;-0.061664;-0.032643;-0.019502;-0.00969;0.084026;-0.150546;-0.055239;-0.064352;-0.071811;-0.194999;0.044431;-0.035769;0.169597;-0.059315;-0.125842;-0.097145;0.045949;0.025611;-0.017452;0.131452;0.176251;0.138923;-0.008055;0.277278;0.246982;0.010493;0.024446;-0.137797;-0.045506;-0.082752;-0.112151;-0.113356;-0.043275;0.047589;-0.005842;-0.083965;0.030394;-0.021588;-0.042246;-0.10835;-0.037285;0.02059;0.103264;0.06575;-0.013245;-0.030221;-0.035428;-0.019797;-0.022898;0.286379;-0.054878;-0.041676;-0.067216;-0.02882;-0.027847;-0.033294;-0.04608;-0.043699;-0.057102;-0.029378;0.434421;-0.04926;-0.033549;-0.038822;0.160094;0.109922;-0.039531;-0.032666;-0.049476;-0.043445;0.148314;-0.138271
